time,B1,B2,B3,T1,T2,T3
2022-06-01 00:00:00,8,3,1,2,2,1
2022-06-01 00:05:00,8,3,2,3,1,1
2022-06-01 00:10:00,7,4,2,3,2,1
2022-06-01 00:15:00,7,3,2,3,2,1
2022-06-01 00:20:00,7,3,1,3,2,1
2022-06-01 00:25:00,7,3,2,3,2,1
2022-06-01 00:30:00,7,3,2,2,2,1
2022-06-01 00:35:00,7,4,2,3,2,1
2022-06-01 00:40:00,6,2,2,3,1,1
2022-06-01 00:45:00,8,3,2,2,1,1
2022-06-01 00:50:00,8,4,2,3,2,1
2022-06-01 00:55:00,8,4,2,3,2,1
2022-06-01 01:00:00,6,4,2,2,2,1
2022-06-01 01:05:00,7,4,2,3,2,1
2022-06-01 01:10:00,7,3,2,2,2,1
2022-06-01 01:15:00,6,4,2,3,2,1
2022-06-01 01:20:00,8,4,2,3,2,1
2022-06-01 01:25:00,5,4,2,3,2,1
2022-06-01 01:30:00,7,3,2,2,2,1
2022-06-01 01:35:00,7,3,2,3,1,1
2022-06-01 01:40:00,8,3,2,3,2,1
2022-06-01 01:45:00,8,4,2,3,2,1
2022-06-01 01:50:00,7,4,2,3,2,1
2022-06-01 01:55:00,7,2,2,3,1,1
2022-06-01 02:00:00,7,3,2,2,2,1
2022-06-01 02:05:00,7,4,2,3,2,1
2022-06-01 02:10:00,7,4,2,4,2,1
2022-06-01 02:15:00,6,4,2,3,2,1
2022-06-01 02:20:00,9,4,2,3,2,1
2022-06-01 02:25:00,6,4,2,3,2,1
2022-06-01 02:30:00,8,3,2,3,2,1
2022-06-01 02:35:00,6,4,2,2,2,1
2022-06-01 02:40:00,9,3,2,2,2,1
2022-06-01 02:45:00,6,4,2,3,1,1
2022-06-01 02:50:00,7,3,2,2,2,1
2022-06-01 02:55:00,6,3,2,4,2,1
2022-06-01 03:00:00,8,3,2,3,2,1
2022-06-01 03:05:00,8,3,2,2,2,1
2022-06-01 03:10:00,8,4,2,3,2,1
2022-06-01 03:15:00,7,3,2,2,1,1
2022-06-01 03:20:00,6,3,2,3,2,1
2022-06-01 03:25:00,6,3,2,2,2,1
2022-06-01 03:30:00,5,4,1,3,2,1
2022-06-01 03:35:00,6,3,1,3,2,1
2022-06-01 03:40:00,7,3,2,3,2,1
2022-06-01 03:45:00,6,4,2,3,2,1
2022-06-01 03:50:00,7,4,2,3,2,1
2022-06-01 03:55:00,7,3,2,3,2,1
2022-06-01 04:00:00,7,2,2,3,2,1
2022-06-01 04:05:00,7,4,2,3,2,1
2022-06-01 04:10:00,7,4,2,2,2,1
2022-06-01 04:15:00,6,4,2,3,2,1
2022-06-01 04:20:00,7,4,1,3,2,1
2022-06-01 04:25:00,8,3,2,3,2,1
2022-06-01 04:30:00,5,4,2,3,1,1
2022-06-01 04:35:00,5,4,1,3,2,1
2022-06-01 04:40:00,8,3,1,3,2,1
2022-06-01 04:45:00,8,4,2,4,2,1
2022-06-01 04:50:00,6,4,2,3,2,1
2022-06-01 04:55:00,7,3,2,2,2,1
2022-06-01 05:00:00,6,3,2,3,2,1
2022-06-01 05:05:00,7,4,2,4,2,1
2022-06-01 05:10:00,6,3,2,3,2,1
2022-06-01 05:15:00,7,3,2,3,2,1
2022-06-01 05:20:00,6,3,2,3,2,1
2022-06-01 05:25:00,7,3,1,3,2,1
2022-06-01 05:30:00,7,3,2,3,2,1
2022-06-01 05:35:00,7,3,1,3,2,1
2022-06-01 05:40:00,6,4,2,2,2,1
2022-06-01 05:45:00,7,4,2,3,2,1
2022-06-01 05:50:00,7,2,2,2,2,1
2022-06-01 05:55:00,7,4,2,3,2,1
2022-06-01 06:00:00,17,9,5,7,4,3
2022-06-01 06:05:00,16,10,4,10,5,3
2022-06-01 06:10:00,16,11,5,10,4,3
2022-06-01 06:15:00,22,8,5,6,4,3
2022-06-01 06:20:00,20,10,5,8,4,3
2022-06-01 06:25:00,17,10,5,8,5,3
2022-06-01 06:30:00,14,10,6,8,5,3
2022-06-01 06:35:00,20,10,5,7,5,3
2022-06-01 06:40:00,17,11,4,7,4,3
2022-06-01 06:45:00,18,7,6,7,4,3
2022-06-01 06:50:00,21,9,4,6,5,2
2022-06-01 06:55:00,14,8,5,9,5,2
2022-06-01 07:00:00,46,26,14,19,10,7
2022-06-01 07:05:00,55,27,12,20,14,9
2022-06-01 07:10:00,51,31,14,18,15,7
2022-06-01 07:15:00,50,27,13,18,12,5
2022-06-01 07:20:00,49,26,15,24,10,9
2022-06-01 07:25:00,47,23,11,22,13,8
2022-06-01 07:30:00,44,27,12,19,11,6
2022-06-01 07:35:00,54,24,14,20,12,7
2022-06-01 07:40:00,56,25,13,16,10,5
2022-06-01 07:45:00,50,15,14,22,14,7
2022-06-01 07:50:00,48,32,14,18,13,8
2022-06-01 07:55:00,51,24,12,22,10,8
2022-06-01 08:00:00,49,26,11,23,11,7
2022-06-01 08:05:00,54,29,10,22,13,8
2022-06-01 08:10:00,51,27,11,16,14,9
2022-06-01 08:15:00,53,26,15,23,13,9
2022-06-01 08:20:00,54,23,13,20,13,8
2022-06-01 08:25:00,58,23,10,23,12,7
2022-06-01 08:30:00,54,32,11,21,10,7
2022-06-01 08:35:00,43,25,11,24,7,7
2022-06-01 08:40:00,47,29,12,18,12,7
2022-06-01 08:45:00,47,23,13,23,13,7
2022-06-01 08:50:00,64,23,14,25,12,8
2022-06-01 08:55:00,63,32,13,18,10,9
2022-06-01 09:00:00,57,27,11,19,12,7
2022-06-01 09:05:00,64,22,13,17,12,7
2022-06-01 09:10:00,54,24,14,21,15,7
2022-06-01 09:15:00,61,26,12,22,12,8
2022-06-01 09:20:00,50,25,13,20,15,8
2022-06-01 09:25:00,33,27,12,18,12,8
2022-06-01 09:30:00,51,30,10,18,14,7
2022-06-01 09:35:00,42,26,13,23,13,7
2022-06-01 09:40:00,57,24,14,19,11,8
