GANTRYID,VEHICLEPLATE,VEHICLETYPE,TRANSTIME
G001,京M36760_2,T1,01/06/2022 18:05:00
G002,京M36760_2,T1,01/06/2022 18:07:04
G003,京M36760_2,T1,01/06/2022 18:08:37
G004,京M36760_2,T1,01/06/2022 18:11:33
G005,京M36760_2,T1,01/06/2022 18:14:43
G006,京M36760_2,T1,01/06/2022 18:19:02
G007,京M36760_2,T1,01/06/2022 18:21:36
G008,京M36760_2,T1,01/06/2022 18:25:48
G009,京M36760_2,T1,01/06/2022 18:27:57
G010,京M36760_2,T1,01/06/2022 18:36:35
G011,京M36760_2,T1,01/06/2022 18:40:20
G009,京M36760_2,T1,02/06/2022 18:25:00
G010,京M36760_2,T1,02/06/2022 18:35:33
G001,京M36760_2,T1,03/06/2022 15:56:00
G002,京M36760_2,T1,03/06/2022 15:57:09
G003,京M36760_2,T1,03/06/2022 15:58:47
G004,京M36760_2,T1,03/06/2022 16:01:01
G005,京M36760_2,T1,03/06/2022 16:03:49
G006,京M36760_2,T1,03/06/2022 16:07:31
G007,京M36760_2,T1,03/06/2022 16:09:14
G008,京M36760_2,T1,03/06/2022 16:12:11
G009,京M36760_2,T1,03/06/2022 16:13:37
G010,京M36760_2,T1,03/06/2022 16:19:22
G011,京M36760_2,T1,03/06/2022 16:21:07
G001,京M36760_2,T1,04/06/2022 17:38:00
G002,京M36760_2,T1,04/06/2022 17:39:22
G003,京M36760_2,T1,04/06/2022 17:41:55
G001,粤X71295_2,B2,01/06/2022 10:52:00
G002,粤X71295_2,B2,01/06/2022 10:52:55
G003,粤X71295_2,B2,01/06/2022 10:54:11
G004,粤X71295_2,B2,01/06/2022 10:56:11
G005,粤X71295_2,B2,01/06/2022 10:57:27
G006,粤X71295_2,B2,01/06/2022 11:00:30
G007,粤X71295_2,B2,01/06/2022 11:02:00
G008,粤X71295_2,B2,01/06/2022 11:05:44
G009,粤X71295_2,B2,01/06/2022 11:07:48
G010,粤X71295_2,B2,01/06/2022 11:12:39
G011,粤X71295_2,B2,01/06/2022 11:14:10
G001,粤X71295_2,B2,03/06/2022 17:08:00
G002,粤X71295_2,B2,03/06/2022 17:10:34
G003,粤X71295_2,B2,04/06/2022 09:26:00
G004,粤X71295_2,B2,04/06/2022 09:29:05
G003,苏M22178_1,T1,04/06/2022 10:09:00
G004,苏M22178_1,T1,04/06/2022 10:10:53
G005,苏M22178_1,T1,04/06/2022 10:13:01
G006,苏M22178_1,T1,04/06/2022 10:15:50
G007,苏M22178_1,T1,04/06/2022 10:17:33
G008,苏M22178_1,T1,04/06/2022 10:20:20
G009,苏M22178_1,T1,04/06/2022 10:24:36
G010,苏M22178_1,T1,04/06/2022 10:30:14
G006,川A58697_0,B1,01/06/2022 07:19:00
G007,川A58697_0,B1,01/06/2022 07:21:01
G008,川A58697_0,B1,01/06/2022 07:26:55
G009,川A58697_0,B1,01/06/2022 07:31:19
G010,川A58697_0,B1,01/06/2022 07:45:13
G011,川A58697_0,B1,01/06/2022 07:47:30
G001,川A58697_0,B1,04/06/2022 11:01:00
G002,川A58697_0,B1,04/06/2022 11:02:14
G003,川A58697_0,B1,04/06/2022 11:03:07
G004,川A58697_0,B1,04/06/2022 11:06:18
G005,川A58697_0,B1,04/06/2022 11:07:54
G006,川A58697_0,B1,04/06/2022 11:10:55
G007,川A58697_0,B1,04/06/2022 11:13:02
G008,川A58697_0,B1,04/06/2022 11:16:20
G009,川A58697_0,B1,04/06/2022 11:18:11
G010,川A58697_0,B1,04/06/2022 11:21:46
G011,川A58697_0,B1,04/06/2022 11:23:30
G004,苏U30378_1,B2,01/06/2022 18:08:00
G005,苏U30378_1,B2,01/06/2022 18:11:25
G006,苏U30378_1,B2,01/06/2022 18:19:36
G007,苏U30378_1,B2,01/06/2022 18:23:34
G008,苏U30378_1,B2,01/06/2022 18:28:38
G006,苏U30378_1,B2,02/06/2022 03:52:00
G007,苏U30378_1,B2,02/06/2022 03:52:55
G008,苏U30378_1,B2,02/06/2022 03:56:02
G001,苏U30378_1,B2,03/06/2022 18:28:00
G002,苏U30378_1,B2,03/06/2022 18:29:26
G003,苏U30378_1,B2,03/06/2022 18:31:18
G004,苏U30378_1,B2,03/06/2022 18:36:44
G005,苏U30378_1,B2,03/06/2022 18:39:25
G006,苏U30378_1,B2,03/06/2022 18:44:45
G007,苏U30378_1,B2,03/06/2022 18:47:03
G008,苏U30378_1,B2,03/06/2022 18:50:44
G009,苏U30378_1,B2,03/06/2022 18:53:21
G010,苏U30378_1,B2,03/06/2022 19:06:53
G011,苏U30378_1,B2,03/06/2022 19:09:20
G001,苏U30378_1,B2,04/06/2022 22:00:00
G002,苏U30378_1,B2,04/06/2022 22:01:10
G003,苏U30378_1,B2,04/06/2022 22:02:48
G004,苏U30378_1,B2,04/06/2022 22:04:43
G005,苏U30378_1,B2,04/06/2022 22:06:07
G006,苏U30378_1,B2,04/06/2022 22:11:46
G007,苏U30378_1,B2,04/06/2022 22:13:28
G008,苏U30378_1,B2,04/06/2022 22:16:40
G009,苏U30378_1,B2,04/06/2022 22:18:18
G010,苏U30378_1,B2,04/06/2022 22:22:58
G011,苏U30378_1,B2,04/06/2022 22:24:47
G007,沪D54567_1,B1,01/06/2022 13:27:00
G008,沪D54567_1,B1,01/06/2022 13:30:37
G009,沪D54567_1,B1,01/06/2022 13:32:38
G010,沪D54567_1,B1,01/06/2022 13:36:46
G001,沪D54567_1,B1,02/06/2022 09:30:00
G002,沪D54567_1,B1,02/06/2022 09:31:03
G003,沪D54567_1,B1,02/06/2022 09:34:10
G004,沪D54567_1,B1,02/06/2022 09:36:36
G005,沪D54567_1,B1,02/06/2022 09:39:50
G006,沪D54567_1,B1,02/06/2022 09:46:33
G007,沪D54567_1,B1,02/06/2022 09:49:26
G008,沪D54567_1,B1,02/06/2022 09:54:45
G009,沪D54567_1,B1,02/06/2022 09:57:02
G010,沪D54567_1,B1,02/06/2022 10:06:28
G011,沪D54567_1,B1,02/06/2022 10:08:18
G001,沪D54567_1,B1,03/06/2022 19:29:00
G002,沪D54567_1,B1,03/06/2022 19:31:03
G003,沪D54567_1,B1,03/06/2022 19:34:25
G004,沪D54567_1,B1,03/06/2022 19:37:37
G005,沪D54567_1,B1,03/06/2022 19:41:22
G009,渝R25395_0,B2,02/06/2022 18:42:00
G010,渝R25395_0,B2,02/06/2022 18:47:33
G011,渝R25395_0,B2,02/06/2022 18:50:30
G004,渝R25395_0,B2,03/06/2022 17:46:00
G005,渝R25395_0,B2,03/06/2022 17:47:52
G006,渝R25395_0,B2,03/06/2022 17:56:53
G007,渝R25395_0,B2,03/06/2022 17:59:27
G008,渝R25395_0,B2,03/06/2022 18:05:32
G009,渝R25395_0,B2,03/06/2022 18:08:33
G010,渝R25395_0,B2,03/06/2022 18:18:49
G011,渝R25395_0,B2,03/06/2022 18:21:29
G001,渝R25395_0,B2,04/06/2022 18:08:00
G002,渝R25395_0,B2,04/06/2022 18:09:20
G003,渝R25395_0,B2,04/06/2022 18:10:53
G004,渝R25395_0,B2,04/06/2022 18:13:01
G005,渝R25395_0,B2,04/06/2022 18:14:54
G006,渝R25395_0,B2,04/06/2022 18:19:06
G001,沪V82127_2,T2,01/06/2022 08:13:00
G002,沪V82127_2,T2,01/06/2022 08:15:22
G003,沪V82127_2,T2,01/06/2022 08:17:02
G004,沪V82127_2,T2,01/06/2022 08:22:21
G005,沪V82127_2,T2,01/06/2022 08:24:00
G006,沪V82127_2,T2,01/06/2022 08:28:45
G007,沪V82127_2,T2,01/06/2022 08:33:00
G008,沪V82127_2,T2,01/06/2022 08:37:29
G009,沪V82127_2,T2,01/06/2022 08:41:52
G010,沪V82127_2,T2,01/06/2022 08:50:44
G011,沪V82127_2,T2,01/06/2022 08:54:24
G009,沪V82127_2,T2,02/06/2022 21:10:00
G010,沪V82127_2,T2,02/06/2022 21:14:14
G011,沪V82127_2,T2,02/06/2022 21:15:40
G001,沪V82127_2,T2,04/06/2022 21:01:00
G002,沪V82127_2,T2,04/06/2022 21:01:59
G003,沪V82127_2,T2,04/06/2022 21:03:34
G004,沪V82127_2,T2,04/06/2022 21:06:10
G005,沪V82127_2,T2,04/06/2022 21:08:26
G006,沪V82127_2,T2,04/06/2022 21:12:52
G007,沪V82127_2,T2,04/06/2022 21:14:46
G008,沪V82127_2,T2,04/06/2022 21:17:36
G002,粤K49044_2,B3,01/06/2022 17:55:00
G003,粤K49044_2,B3,01/06/2022 17:56:57
G004,粤K49044_2,B3,01/06/2022 18:00:23
G005,粤K49044_2,B3,01/06/2022 18:03:54
